Size,Availability,Furnishing,Price,Flat Size,Location,Balcony
900 sqft,Ready to Move,furnished,1.40 Cr,2 BHK,Kothrud,3
820 sqft,Ready to Move,unfurnished,1.15 Cr,2 BHK,Kharadi,2
785 sqft,Ready to Move,semi-furnished,1.37 Cr,2 BHK,Baner,3
937 sqft,Ready to Move,semi-furnished,98 Lac,3 BHK,Tathawade,2
729 sqft,Ready to Move,furnished,69.5 Lac,2 BHK,Chinchwad,1
660 sqft,Ready to Move,furnished,75 Lac,2 BHK,Kondhwa,1
781 sqft,Ready to Move,unfurnished,75 Lac,2 BHK,Chinchwad,2
430 sqft,Ready to Move,semi-furnished,28 Lac,1 BHK,Lohegaon,1
767 sqft,Ready to Move,semi-furnished,85 Lac,2 BHK,Ravet,2
740 sqft,Ready to Move,semi-furnished,85 Lac,2 BHK,Wakad,2
1050 sqft,Ready to Move,furnished,1.85 Cr,2 BHK,Baner,3
436 sqft,Ready to Move,furnished,57 Lac,1 BHK,Wakad,2
516 sqft,Ready to Move,unfurnished,32 Lac,1 BHK,Chinchwad,1
701 sqft,Ready to Move,unfurnished,1.20 Cr,2 BHK,Kharadi,2
720 sqft,Ready to Move,semi-furnished,80 Lac,2 BHK,Ravet,2
900 sqft,Ready to Move,furnished,1.02 Cr,2 BHK,Kondhwa,2
600 sqft,Ready to Move,semi-furnished,44 Lac,1 BHK,Chinchwad,1
886 sqft,Ready to Move,furnished,1.25 Cr,2 BHK,Chinchwad,2
1114 sqft,Ready to Move,unfurnished,1.65 Cr,3 BHK,Pimple Nilak,3
788 sqft,Ready to Move,semi-furnished,90 Lac,2 BHK,Hinjewadi,2
620 sqft,Ready to Move,unfurnished,95 Lac,2 BHK,Hadapsar,2
789 sqft,Ready to Move,unfurnished,99 Lac,2 BHK,Balewadi,2
1900 sqft,Ready to Move,furnished,3 Cr,3 BHK,Wakad,3
716 sqft,Ready to Move,unfurnished,82 Lac,2 BHK,Chinchwad,2
896 sqft,Ready to Move,furnished,1.10 Cr,2 BHK,Pimple Gurav,2
630 sqft,Ready to Move,unfurnished,55 Lac,2 BHK,Kondhwa,2
507 sqft,Ready to Move,semi-furnished,59 Lac,1 BHK,Wakad,1
789 sqft,Ready to Move,unfurnished,99 Lac,2 BHK,Balewadi,2
896 sqft,Ready to Move,furnished,1.10 Cr,2 BHK,Pimple Gurav,2
630 sqft,Ready to Move,unfurnished,55 Lac,2 BHK,Kondhwa,1
507 sqft,Ready to Move,semi-furnished,59 Lac,1 BHK,Wakad,2
335 sqft,Ready to Move,semi-furnished,42 Lac,2 BHK,Lohegaon,1
470 sqft,Ready to Move,semi-furnished,45 Lac,1 BHK,Chinchwad,1
836 sqft,Ready to Move,unfurnished,65 Lac,2 BHK,Chinchwad,2
434 sqft,Ready to Move,semi-furnished,65 Lac,1 BHK,Baner,2
1230 sqft,Ready to Move,furnished,2.20 Cr,3 BHK,Pimple Saudagar,2
832 sqft,Ready to Move,unfurnished,1.40 Cr,2 BHK,Balewadi,2
1030 sqft,Ready to Move,unfurnished,1.30 Cr,3 BHK,Wakad,2
1200 sqft,Ready to Move,unfurnished,1.80 Cr,3 BHK,Balewadi,3
800 sqft,Ready to Move,furnished,92 Lac,2 BHK,Pimple Saudagar,2
721 sqft,Ready to Move,unfurnished,1.15 Cr,3 BHK,Hadapsar,2
934 sqft,Ready to Move,semi-furnished,1.10 Cr,2 BHK,Baner,2
836 sqft,Ready to Move,semi-furnished,55 Lac,2 BHK,Chinchwad,1
470 sqft,Ready to Move,semi-furnished,45 Lac,1 BHK,Chinchwad,1
434 sqft,Ready to Move,semi-furnished,65 Lac,1 BHK,Baner,2
832 sqft,Ready to Move,unfurnished,1.40 Cr,2 BHK,Balewadi,2
1030 sqft,Ready to Move,unfurnished,1.30 Cr,3 BHK,Wakad,3
1200 sqft,Ready to Move,unfurnished,1.80 Cr,3 BHK,Balewadi,2
800 sqft,Ready to Move,furnished,92 Lac,2 BHK,Pimple Saudagar,2
934 sqft,Ready to Move,semi-furnished,1.10 Cr,2 BHK,Baner,2
995 sqft,Ready to Move,furnished,1.27 Cr,2 BHK,Balewadi,3
636 sqft,Ready to Move,semi-furnished,80 Lac,2 BHK,Wakad,1
1350 sqft,Ready to Move,unfurnished,1.43 Cr,3 BHK,Wakad,2
823 sqft,Ready to Move,unfurnished,1.27 Cr,2 BHK,Balewadi,3
1060 sqft,Ready to Move,semi-furnished,1.12 Cr,3 BHK,Hinjewadi,2
1151 sqft,Ready to Move,semi-furnished,95 Lac,2 BHK,Hinjewadi,2
785 sqft,Ready to Move,unfurnished,1.15 Cr,2 BHK,Kharadi,2
807 sqft,Ready to Move,semi-furnished,96 Lac,2 BHK,Hadapsar,2
1562 sqft,Ready to Move,semi-furnished,1.40 Cr,3 BHK,Chinchwad,2
1350 sqft,Ready to Move,unfurnished,1.43 Cr,3 BHK,Wakad,2
823 sqft,Ready to Move,unfurnished,1.27 Cr,2 BHK,Balewadi,3
1060 sqft,Ready to Move,semi-furnished,1.12 Cr,3 BHK,Hinjewadi,2
1151 sqft,Ready to Move,semi-furnished,95 Lac,2 BHK,Hinjewadi,2
785 sqft,Ready to Move,unfurnished,1.15 Cr,2 BHK,Kharadi,2
1562 sqft,Ready to Move,semi-furnished,1.40 Cr,3 BHK,Chinchwad,2
968 sqft,Ready to Move,semi-furnished,1 Cr,2 BHK,Wakad,2
1062 sqft,Ready to Move,semi-furnished,1.10 Cr,2 BHK,Baner,2
1036 sqft,Ready to Move,furnished,1.21 Cr,3 BHK,Wakad,3
1367 sqft,Ready to Move,unfurnished,2.60 Cr,3 BHK,Aundh,2
401 sqft,Ready to Move,semi-furnished,33 Lac,1 BHK,Kondhwa,1
780 sqft,Ready to Move,furnished,65 Lac,2 BHK,Hadapsar,2
886 sqft,Ready to Move,furnished,85 Lac,2 BHK,Pimple Nilak,2
930 sqft,Ready to Move,unfurnished,1.49 Cr,3 BHK,Kothrud,2
800 sqft,Ready to Move,semi-furnished,89 Lac,2 BHK,Baner,2
615 sqft,Ready to Move,unfurnished,62.5 Lac,2 BHK,Chinchwad,2
1461 sqft,Ready to Move,furnished,1.71 Cr,3 BHK,Aundh,2
736 sqft,Ready to Move,semi-furnished,75 Lac,2 BHK,Pimple Saudagar,1
1096 sqft,Ready to Move,unfurnished,81 Lac,3 BHK,Chinchwad,2
1062 sqft,Ready to Move,semi-furnished,1.10 Cr,2 BHK,Baner,2
1367 sqft,Ready to Move,unfurnished,2.60 Cr,3 BHK,Aundh,3
401 sqft,Ready to Move,semi-furnished,33 Lac,1 BHK,Kondhwa,1
780 sqft,Ready to Move,furnished,65 Lac,2 BHK,Hadapsar,1
930 sqft,Ready to Move,unfurnished,1.49 Cr,3 BHK,Kothrud,2
800 sqft,Ready to Move,semi-furnished,89 Lac,2 BHK,Baner,2
615 sqft,Ready to Move,unfurnished,62.5 Lac,2 BHK,Chinchwad,2
736 sqft,Ready to Move,semi-furnished,75 Lac,2 BHK,Pimple Saudagar,1
1096 sqft,Ready to Move,unfurnished,81 Lac,3 BHK,Chinchwad,2
836 sqft,Ready to Move,furnished,80 Lac,3 BHK,Chinchwad,2
730 sqft,Ready to Move,furnished,1.10 Cr,2 BHK,Wakad,2
725 sqft,Ready to Move,semi-furnished,1 Cr,2 BHK,Wakad,2
750 sqft,Ready to Move,semi-furnished,48 Lac,2 BHK,Hadapsar,1
896 sqft,Ready to Move,semi-furnished,91 Lac,2 BHK,Wakad,2
536 sqft,Ready to Move,unfurnished,43 Lac,1 BHK,Wakad,1
1237 sqft,Ready to Move,unfurnished,1.30 Cr,2 BHK,Balewadi,2
1050 sqft,Ready to Move,furnished,93 Lac,2 BHK,Baner,2
836 sqft,Ready to Move,furnished,80 Lac,3 BHK,Chinchwad,1
730 sqft,Ready to Move,furnished,1.10 Cr,2 BHK,Wakad,2
725 sqft,Ready to Move,semi-furnished,1 Cr,2 BHK,Wakad,2
896 sqft,Ready to Move,semi-furnished,91 Lac,2 BHK,Wakad,2
1237 sqft,Ready to Move,unfurnished,1.30 Cr,2 BHK,Balewadi,2
1050 sqft,Ready to Move,furnished,93 Lac,2 BHK,Baner,2
1900 sqft,Ready to Move,furnished,2.70 Cr,3 BHK,Baner,3
834 sqft,Ready to Move,unfurnished,65 Lac,2 BHK,Hadapsar,1
1005 sqft,Ready to Move,semi-furnished,1.20 Cr,3 BHK,Hadapsar,2
550 sqft,Ready to Move,semi-furnished,42 Lac,2 BHK,Pimple Gurav,1
860 sqft,Ready to Move,semi-furnished,95 Lac,2 BHK,Chinchwad,2
1250 sqft,Ready to Move,semi-furnished,1.45 Cr,3 BHK,Chinchwad,3
520 sqft,Ready to Move,unfurnished,37 Lac,2 BHK,Chinchwad,1
800 sqft,Ready to Move,semi-furnished,65 Lac,2 BHK,Hadapsar,1
1429 sqft,Ready to Move,furnished,2.98 Cr,3 BHK,Wakad,3
1700 sqft,Ready to Move,furnished,3.65 Cr,4 BHK,Baner,3
1133 sqft,Ready to Move,unfurnished,1.62 Cr,3 BHK,Hadapsar,2
860 sqft,Ready to Move,semi-furnished,95 Lac,2 BHK,Chinchwad,2
1250 sqft,Ready to Move,semi-furnished,1.45 Cr,3 BHK,Chinchwad,3
800 sqft,Ready to Move,semi-furnished,65 Lac,2 BHK,Hadapsar,2
1429 sqft,Ready to Move,furnished,2.98 Cr,3 BHK,Wakad,2
1700 sqft,Ready to Move,furnished,3.65 Cr,4 BHK,Baner,2
1134 sqft,Poss. by Nov '28,unfurnished,1.53 Cr,3 BHK,Kharadi,2
840 sqft,Poss. by Dec '28,unfurnished,89.7 Lac,2 BHK,Ravet,2
650 sqft,Ready to Move,unfurnished,64 Lac,1 BHK,Viman Nagar,1
1305 sqft,Ready to Move,unfurnished,2.54 Cr,3 BHK,Baner,2
615 sqft,Ready to Move,semi-furnished,89 Lac,2 BHK,Kharadi,2
740 sqft,Ready to Move,unfurnished,42 Lac,1 BHK,Hadapsar,1
400 sqft,Ready to Move,furnished,41.5 Lac,1 BHK,Kondhwa,1
1134 sqft,Poss. by Nov '28,unfurnished,1.53 Cr,3 BHK,Kharadi,3
840 sqft,Poss. by Dec '28,unfurnished,89.7 Lac,2 BHK,Ravet,2
650 sqft,Ready to Move,unfurnished,64 Lac,1 BHK,Viman Nagar,2
1305 sqft,Ready to Move,unfurnished,2.54 Cr,3 BHK,Baner,3
615 sqft,Ready to Move,semi-furnished,89 Lac,2 BHK,Kharadi,2
740 sqft,Ready to Move,unfurnished,42 Lac,1 BHK,Hadapsar,1
400 sqft,Ready to Move,furnished,41.5 Lac,1 BHK,Kondhwa,1
645 sqft,Ready to Move,semi-furnished,51 Lac,1 BHK,Chinchwad,1
973 sqft,Poss. by Dec '25,semi-furnished,1.50 Cr,3 BHK,Hinjewadi,3
430 sqft,Ready to Move,semi-furnished,29 Lac,1 BHK,Kondhwa,1
850 sqft,Ready to Move,unfurnished,1.42 Cr,3 BHK,Kharadi,2
527 sqft,Ready to Move,furnished,43 Lac,1 BHK,Hadapsar,1
655 sqft,Ready to Move,semi-furnished,40 Lac,1 BHK,Lohegaon,1
1075 sqft,Ready to Move,unfurnished,76.5 Lac,2 BHK,Kondhwa,2
500 sqft,Ready to Move,semi-furnished,35 Lac,1 BHK,Lohegaon,1
707 sqft,Ready to Move,semi-furnished,90 Lac,2 BHK,Wakad,2
650 sqft,Ready to Move,semi-furnished,36 Lac,1 BHK,Lohegaon,1
392 sqft,Ready to Move,unfurnished,35 Lac,1 BHK,Hadapsar,1
430 sqft,Ready to Move,semi-furnished,29 Lac,1 BHK,Kondhwa,1
655 sqft,Ready to Move,semi-furnished,40 Lac,1 BHK,Lohegaon,1
1075 sqft,Ready to Move,unfurnished,76.5 Lac,2 BHK,Kondhwa,2
707 sqft,Ready to Move,semi-furnished,90 Lac,2 BHK,Wakad,2
392 sqft,Ready to Move,unfurnished,35 Lac,1 BHK,Hadapsar,1
1072 sqft,Ready to Move,unfurnished,1.30 Cr,2 BHK,Kothrud,2
540 sqft,Ready to Move,semi-furnished,30 Lac,1 BHK,Hadapsar,1
783 sqft,Ready to Move,unfurnished,68 Lac,2 BHK,Hadapsar,1
780 sqft,Ready to Move,furnished,1.15 Cr,2 BHK,Kharadi,2
1074 sqft,Ready to Move,unfurnished,1.40 Cr,3 BHK,Pimple Nilak,2
700 sqft,Ready to Move,furnished,44 Lac,2 BHK,Kondhwa,1
747 sqft,Ready to Move,unfurnished,1.45 Cr,2 BHK,Kothrud,2
783 sqft,Ready to Move,unfurnished,68 Lac,2 BHK,Hadapsar,1
780 sqft,Ready to Move,furnished,1.15 Cr,2 BHK,Kharadi,2
1074 sqft,Ready to Move,unfurnished,1.40 Cr,3 BHK,Pimple Nilak,2
747 sqft,Ready to Move,unfurnished,1.45 Cr,2 BHK,Kothrud,3
1084 sqft,Poss. by Sep '26,unfurnished,1.40 Cr,3 BHK,Baner,2
456 sqft,Ready to Move,unfurnished,30 Lac,1 BHK,Pimple Gurav,1
510 sqft,Ready to Move,unfurnished,40 Lac,1 BHK,Lohegaon,1
950 sqft,Ready to Move,furnished,1 Cr,2 BHK,Kondhwa,2
700 sqft,Ready to Move,semi-furnished,75 Lac,2 BHK,Pimple Saudagar,2
1100 sqft,Ready to Move,furnished,95 Lac,2 BHK,Pimple Saudagar,2
1175 sqft,Ready to Move,unfurnished,1.60 Cr,3 BHK,Baner,2
3950 sqft,Ready to Move,furnished,4.25 Cr,4 BHK,Kharadi,3
2650 sqft,Ready to Move,semi-furnished,5.30 Cr,4 BHK,Kharadi,2
1225 sqft,Ready to Move,furnished,1.23 Cr,3 BHK,Hinjewadi,3
1250 sqft,Ready to Move,furnished,1.65 Cr,3 BHK,Wakad,2
1300 sqft,Ready to Move,unfurnished,1.88 Cr,3 BHK,Pimple Saudagar,2
2000 sqft,Ready to Move,unfurnished,3.15 Cr,4 BHK,Chinchwad,3
1305 sqft,Ready to Move,unfurnished,2.18 Cr,3 BHK,Baner,3
510 sqft,Ready to Move,unfurnished,40 Lac,1 BHK,Lohegaon,1
700 sqft,Ready to Move,semi-furnished,75 Lac,2 BHK,Pimple Saudagar,1
1175 sqft,Ready to Move,unfurnished,1.60 Cr,3 BHK,Baner,2
3950 sqft,Ready to Move,furnished,4.25 Cr,4 BHK,Kharadi,3
2650 sqft,Ready to Move,semi-furnished,5.30 Cr,4 BHK,Kharadi,3
1225 sqft,Ready to Move,furnished,1.23 Cr,3 BHK,Hinjewadi,2
1250 sqft,Ready to Move,furnished,1.65 Cr,3 BHK,Wakad,3
2000 sqft,Ready to Move,unfurnished,3.15 Cr,4 BHK,Chinchwad,2
1189 sqft,Ready to Move,unfurnished,1.52 Cr,3 BHK,Wakad,3
788 sqft,Ready to Move,unfurnished,63 Lac,2 BHK,Ravet,2
1300 sqft,Ready to Move,semi-furnished,1.78 Cr,3 BHK,Baner,2
920 sqft,Ready to Move,unfurnished,1.10 Cr,3 BHK,Pimple Saudagar,2
1750 sqft,Ready to Move,semi-furnished,2.80 Cr,3 BHK,Kharadi,2
1600 sqft,Ready to Move,furnished,2.65 Cr,3 BHK,Kharadi,3
1010 sqft,Ready to Move,semi-furnished,1.35 Cr,3 BHK,Balewadi,3
1189 sqft,Ready to Move,unfurnished,1.52 Cr,3 BHK,Wakad,2
788 sqft,Ready to Move,unfurnished,63 Lac,2 BHK,Ravet,2
1600 sqft,Ready to Move,furnished,2.65 Cr,3 BHK,Kharadi,2
1574 sqft,Ready to Move,unfurnished,2.39 Cr,4 BHK,Baner,2
2238 sqft,Ready to Move,unfurnished,3.65 Cr,3 BHK,Baner,3
1250 sqft,Ready to Move,semi-furnished,1.80 Cr,3 BHK,Balewadi,3
1534 sqft,Ready to Move,furnished,3.75 Cr,3 BHK,Baner,3
1155 sqft,Ready to Move,semi-furnished,1.15 Cr,2 BHK,Kothrud,2
1845 sqft,Ready to Move,unfurnished,3 Cr,4 BHK,Aundh,2
980 sqft,Ready to Move,unfurnished,90 Lac,2 BHK,Viman Nagar,2
1200 sqft,Ready to Move,semi-furnished,2 Cr,3 BHK,Balewadi,2
1300 sqft,Ready to Move,semi-furnished,1.85 Cr,3 BHK,Wakad,2
700 sqft,Ready to Move,semi-furnished,98 Lac,2 BHK,Kothrud,2
2200 sqft,Ready to Move,unfurnished,4 Cr,4 BHK,Wakad,2
490 sqft,Ready to Move,unfurnished,37.5 Lac,1 BHK,Chinchwad,1
1100 sqft,Ready to Move,unfurnished,1.60 Cr,3 BHK,Balewadi,3
1350 sqft,Ready to Move,unfurnished,2.48 Cr,3BHK,Aundh,2
1335 sqft,Poss. by Jun '26,unfurnished,1.88 Cr,3BHK,Aundh,1
770 sqft,Ready to Move,unfurnished,1.25 Cr,2BHK,Aundh,1
956 sqft,Poss. by Dec '25,semi-furnished,1.03 Cr,2BHK,Aundh,1
3500 sqft,Ready to Move,semi-furnished,8.70 Cr,4BHK,Aundh,3
1550 sqft,Poss. by Nov '25,unfurnished,2.80 Cr,3BHK,Aundh,2
1446 sqft,Poss. by Nov '25,unfurnished,1.93 Cr,3BHK,Aundh,1
1335 sqft,Poss. by Mar '28,semi-furnished,2.20 Cr,3BHK,Aundh,2
3650 sqft,Ready to Move,semi-furnished,7.25 Cr,4BHK,Aundh,3
796 sqft,Poss. by Jun '26,semi-furnished,95.7 Lac,2BHK,Aundh,0
1163 sqft,Poss. by Dec '27,unfurnished,1.50 Cr,3BHK,Aundh,1
2500 sqft,Ready to Move,semi-furnished,3.65 Cr,4BHK,Aundh,2
1115 sqft,Poss. by Dec '25,unfurnished,1.10 Cr,3BHK,Aundh,1
1150 sqft,Ready to Move,unfurnished,1.75 Cr,3BHK,Aundh,1
1700 sqft,Ready to Move,unfurnished,3.20 Cr,3BHK,Aundh,2
2200 sqft,Ready to Move,semi-furnished,3.90 Cr,5BHK,Aundh,2
1724 sqft,Poss. by Mar '28,semi-furnished,2.75 Cr,4BHK,Aundh,2
3755 sqft,Ready to Move,unfurnished,6.11 Cr,5BHK,Aundh,3
1600 sqft,Poss. by Dec '26,semi-furnished,2.02 Cr,4BHK,Aundh,2
1711 sqft,Poss. by Jun '27,unfurnished,2.65 Cr,4BHK,Aundh,2
2500 sqft,Ready to Move,furnished,6.49 Cr,4BHK,Aundh,3
1606 sqft,Ready to Move,furnished,3.20 Cr,3BHK,Aundh,2
1700 sqft,Ready to Move,furnished,3 Cr,3BHK,Aundh,2
1135 sqft,Poss. by Dec '28,unfurnished,1.65 Cr,3BHK,Aundh,1
2500 sqft,Ready to Move,furnished,5 Cr,4BHK,Aundh,3
1950 sqft,Ready to Move,semi-furnished,3.80 Cr,4BHK,Aundh,2
786 sqft,Ready to Move,unfurnished,1.27 Cr,2BHK,Aundh,1
1166 sqft,Poss. by Dec '25,unfurnished,1.43 Cr,3BHK,Aundh,1
1482 sqft,Poss. by Dec '28,unfurnished,2.30 Cr,4BHK,Aundh,2
542 sqft,Ready to Move,semi-furnished,56 Lac,1BHK,Pimple Gurav,0
1355 sqft,Ready to Move,unfurnished,1.85 Cr,3BHK,Pimple Gurav,1
855 sqft,Ready to Move,semi-furnished,1.15 Cr,2BHK,Pimple Gurav,1
950 sqft,Ready to Move,unfurnished,75 Lac,2BHK,Pimple Gurav,0
550 sqft,Ready to Move,semi-furnished,42 Lac,2BHK,Pimple Gurav,0
896 sqft,Ready to Move,furnished,1.10 Cr,2BHK,Pimple Gurav,1
456 sqft,Ready to Move,unfurnished,30 Lac,1BHK,Pimple Gurav,0
1150 sqft,Ready to Move,furnished,1.31 Cr,3BHK,Pimple Gurav,1
680 sqft,Ready to Move,furnished,65 Lac,2BHK,Pimple Gurav,0
636 sqft,Ready to Move,unfurnished,35 Lac,2BHK,Pimple Gurav,0
888 sqft,Ready to Move,unfurnished,99 Lac,2BHK,Pimple Gurav,0
857 sqft,Ready to Move,semi-furnished,1.40 Cr,3BHK,Pimple Gurav,1
946 sqft,Ready to Move,semi-furnished,1.12 Cr,3BHK,Pimple Gurav,1
539 sqft,Ready to Move,furnished,75.3 Lac,2BHK,Pimple Gurav,0
792 sqft,Ready to Move,furnished,1.25 Cr,2BHK,Pimple Gurav,1
484 sqft,Ready to Move,unfurnished,55 Lac,1BHK,Pimple Gurav,0
439 sqft,Ready to Move,semi-furnished,38 Lac,1BHK,Pimple Gurav,0
900 sqft,Ready to Move,semi-furnished,80 Lac,2BHK,Pimple Gurav,0
406 sqft,Ready to Move,unfurnished,55 Lac,2BHK,Pimple Gurav,0
1008 sqft,Ready to Move,furnished,1.40 Cr,3BHK,Pimple Gurav,1
695 sqft,Ready to Move,unfurnished,73 Lac,2BHK,Pimple Gurav,0
738 sqft,Ready to Move,furnished,76 Lac,2BHK,Pimple Gurav,0
989 sqft,Ready to Move,unfurnished,1.20 Cr,3BHK,Pimple Gurav,1
853 sqft,Ready to Move,unfurnished,64 Lac,2BHK,Pimple Gurav,0
900 sqft,Ready to Move,unfurnished,63 Lac,2BHK,Pimple Gurav,0
1060 sqft,Ready to Move,unfurnished,1.05 Cr,2BHK,Pimple Gurav,1
935 sqft,Ready to Move,unfurnished,70 Lac,2BHK,Pimple Gurav,0
869 sqft,Ready to Move,semi-furnished,68.5 Lac,2BHK,Pimple Gurav,0
637 sqft,Ready to Move,semi-furnished,40 Lac,1BHK,Pimple Gurav,0
1100 sqft,Ready to Move,semi-furnished,73 Lac,2BHK,Pimple Gurav,0
1833 sqft,Poss. by Dec '28,unfurnished,3.50 Cr,4BHK,Pimple Nilakh,2
1430 sqft,Poss. by Dec '28,unfurnished,2.75 Cr,3BHK,Pimple Nilakh,2
1091 sqft,Poss. by Dec '26,unfurnished,1.29 Cr,3BHK,Pimple Nilakh,1
2700 sqft,Ready to Move,semi-furnished,5.75 Cr,5BHK,Pimple Nilakh,3
1154 sqft,Poss. by Sep '27,unfurnished,1.63 Cr,3BHK,Pimple Nilakh,1
1550 sqft,Ready to Move,semi-furnished,3.20 Cr,3BHK,Pimple Nilakh,2
1100 sqft,Ready to Move,unfurnished,1.19 Cr,2BHK,Pimple Nilakh,1
2240 sqft,Poss. by Jun '28,semi-furnished,4.44 Cr,4BHK,Pimple Nilakh,3
1156 sqft,Poss. by Sep '27,semi-furnished,1.56 Cr,3BHK,Pimple Nilakh,1
1823 sqft,Poss. by Jun '28,furnished,2.80 Cr,4BHK,Pimple Nilakh,2
2730 sqft,Ready to Move,furnished,5.65 Cr,4BHK,Pimple Nilakh,3
2200 sqft,Ready to Move,semi-furnished,3.90 Cr,4BHK,Pimple Nilakh,2
1154 sqft,Poss. by Sep '27,unfurnished,1.60 Cr,3BHK,Pimple Nilakh,1
1433 sqft,Poss. by Dec '27,unfurnished,2.55 Cr,3BHK,Pimple Nilakh,2
1600 sqft,Ready to Move,unfurnished,3.40 Cr,4BHK,Pimple Nilakh,2
779 sqft,Poss. by Sep '27,unfurnished,92.7 Lac,2BHK,Pimple Nilakh,0
9500 sqft,Ready to Move,semi-furnished,9.50 Cr,5BHK,Pimple Nilakh,3
1433 sqft,Poss. by Dec '27,unfurnished,2.45 Cr,3BHK,Pimple Nilakh,2
1774 sqft,Poss. by Dec '27,unfurnished,2.98 Cr,4BHK,Pimple Nilakh,2
2240 sqft,Poss. by Dec '27,unfurnished,3.17 Cr,4BHK,Pimple Nilakh,2
1433 sqft,Poss. by Dec '27,semi-furnished,2.29 Cr,3BHK,Pimple Nilakh,2
1920 sqft,Ready to Move,furnished,3.30 Cr,4BHK,Pimple Nilakh,2
2148 sqft,Ready to Move,unfurnished,4.45 Cr,4BHK,Pimple Nilakh,3
1131 sqft,Poss. by Sep '27,semi-furnished,1.53 Cr,3BHK,Pimple Nilakh,1
1824 sqft,Poss. by Jun '28,unfurnished,3.26 Cr,4BHK,Pimple Nilakh,2
1131 sqft,Poss. by Sep '27,furnished,1.53 Cr,3BHK,Pimple Nilakh,1
1810 sqft,Poss. by Jun '28,semi-furnished,3.24 Cr,4BHK,Pimple Nilakh,2
1824 sqft,Poss. by Jun '28,semi-furnished,3.26 Cr,4BHK,Pimple Nilakh,2
1131 sqft,Poss. by Sep '27,unfurnished,1.53 Cr,3BHK,Pimple Nilakh,1
1810 sqft,Poss. by Jun '28,furnished,3.24 Cr,4BHK,Pimple Nilakh,2
